region,supplysector,subsector,stub.technology,minicam.energy.input,market.name,year,coefficient
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR CCS,delivered coal,Central America and Caribbean,2060,2.808e-4
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR CCS,delivered coal,Central America and Caribbean,2065,2.808e-4
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR CCS,delivered coal,Central America and Caribbean,2070,2.808e-4
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR CCS,delivered coal,Central America and Caribbean,2075,2.808e-4
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR CCS,delivered coal,Central America and Caribbean,2080,2.808e-4
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR CCS,delivered coal,Central America and Caribbean,2085,2.808e-4
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR CCS,delivered coal,Central America and Caribbean,2090,2.808e-4
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR CCS,delivered coal,Central America and Caribbean,2095,2.808e-4
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR CCS,delivered coal,Central America and Caribbean,2100,2.808e-4
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR CCS,elect_td_ind,Central America and Caribbean,2015,0
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR CCS,elect_td_ind,Central America and Caribbean,2020,0
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR CCS,elect_td_ind,Central America and Caribbean,2025,0
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR CCS,elect_td_ind,Central America and Caribbean,2030,0
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR CCS,elect_td_ind,Central America and Caribbean,2035,0
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR CCS,elect_td_ind,Central America and Caribbean,2040,0
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR CCS,elect_td_ind,Central America and Caribbean,2045,0
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR CCS,elect_td_ind,Central America and Caribbean,2050,0
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR CCS,elect_td_ind,Central America and Caribbean,2055,0
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR CCS,elect_td_ind,Central America and Caribbean,2060,0
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR CCS,elect_td_ind,Central America and Caribbean,2065,0
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR CCS,elect_td_ind,Central America and Caribbean,2070,0
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR CCS,elect_td_ind,Central America and Caribbean,2075,0
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR CCS,elect_td_ind,Central America and Caribbean,2080,0
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR CCS,elect_td_ind,Central America and Caribbean,2085,0
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR CCS,elect_td_ind,Central America and Caribbean,2090,0
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR CCS,elect_td_ind,Central America and Caribbean,2095,0
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR CCS,elect_td_ind,Central America and Caribbean,2100,0
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,Central America and Caribbean,2015,0
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,Central America and Caribbean,2020,0
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,Central America and Caribbean,2025,0
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,Central America and Caribbean,2030,0
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,Central America and Caribbean,2035,0
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,Central America and Caribbean,2040,0
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,Central America and Caribbean,2045,0
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,Central America and Caribbean,2050,0
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,Central America and Caribbean,2055,0
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,Central America and Caribbean,2060,0
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,Central America and Caribbean,2065,0
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,Central America and Caribbean,2070,0
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,Central America and Caribbean,2075,0
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,Central America and Caribbean,2080,0
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,Central America and Caribbean,2085,0
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,Central America and Caribbean,2090,0
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,Central America and Caribbean,2095,0
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,Central America and Caribbean,2100,0
